,label,category,level,weight,parent,1D,1W,1M,3M,1Y,2Y,5Y
DOGE-USD,Dogecoin,crypto,1,35,,3.029720217121965,2.2361120329328146,-0.30066955153581065,5.251018993665505,-53.31173413346324,-76.13349028493626,-25.03324580469885
AVAX-USD,Avalanche,crypto,1,30,,2.607889204516636,1.545362497914872,-1.2511856828384322,10.657919440370826,-57.04033280815114,-78.2521595597537,-46.64052022756706
DOT-USD,Polkadot,crypto,1,25,,2.469394219153596,-8.530066180555988,-12.288239677336952,-4.831358301741094,-67.50116695363808,-85.89436556403847,-80.88057857335491
LINK-USD,Chainlink,crypto,1,25,,3.6265650178827475,2.885115060399259,-0.2634058180000385,12.493532949343415,-43.9660259040765,-49.98964513521311,25.881085075908235
GC=F,Gold,commodities,1,120,,-0.1243523316062176,1.1991032744755097,5.916748139888538,-4.980678539165276,42.57396449704142,82.54480011615615,192.82373111626282
SI=F,Silver,commodities,1,60,,-0.14610889917938194,3.8664170183364774,9.554872733947732,-5.347799978939322,109.91104157218136,163.2758837806385,304.46428562739845
CL=F,WTI Crude,commodities,1,110,,0.07668678326066686,-5.405406686547703,1.1403883777425423,41.3430331985509,41.95804295295871,32.9307288292077,1.499998304578993
BZ=F,Brent Crude,commodities,1,100,,0.14769425920060786,-0.28360992827888065,-7.131677586060197,36.78674094809187,41.91957119357767,30.34463534051109,-1.2791215787133552
NG=F,Natural Gas,commodities,1,70,,0.6925789166421124,-1.1706910456266353,-11.348232072065088,-17.157322907218415,-14.94962022328904,-18.320845626946358,-58.24824424955928
HG=F,Copper,commodities,1,60,,0.09060730933523928,3.5005557075835263,9.893297656356928,2.13481819470843,38.373958065693856,49.39759883701912,73.32763024043923
PL=F,Platinum,commodities,1,35,,1.750935349232572,3.5137375710612297,10.175574041809526,-0.785808758823676,59.962299974076174,128.838066866715,120.90190280052965
ZC=F,Corn,commodities,1,40,,1.9751693002257338,2.437641723356009,-3.3172819689673623,5.6725146198830405,18.959842001316655,8.659049909801563,-34.29090909090909
ZS=F,Soybeans,commodities,1,40,,0.6260794473229706,-0.8930469912821603,-0.5547258374226584,3.669928825622776,21.190847633905356,17.850821744627055,-19.07986111111111
ZW=F,Wheat,commodities,1,35,,1.435810810810811,5.166374781085814,0.4600585529067336,11.772917636109819,18.09242871189774,11.668991166899117,-29.01891252955083
KC=F,Coffee,commodities,1,35,,-1.569469716105346,-0.7330930230879049,-5.757675373492766,1.0515624938535235,1.5337423631943439,-8.66165890806859,63.546529716482226
CT=F,Cotton,commodities,1,25,,4.425613502284302,6.022939031948428,13.860365071786024,25.229867964955986,18.15829658953275,5.51855046273621,-1.7341806918759888
TLT,US 20Y+,bonds,1,100,,-0.43572670267992875,0.3931136266423509,0.38800408644478424,-0.6735983181947823,1.8277579095580903,-0.6719165785911466,3.0287755905515374
IEF,US 7-10Y,bonds,1,80,,-0.2192286068123587,0.32539645104610476,0.5647275768008554,-0.06620048992670084,2.4495928221690013,6.401756667509193,14.166789236927677
SHY,US 1-3Y,bonds,1,60,,-0.024229544846936946,0.12134264006479015,0.43393287069820136,0.15693930386777682,2.2341826418147908,5.863587784421337,15.259075648889434
LQD,IG Corporate,bonds,1,60,,-0.03637108047498703,0.6776607269639439,1.5283086386586309,0.06469806861995069,3.0745642505753663,6.609370579538419,25.830675705482964
HYG,High Yield,bonds,1,50,,-0.04969057829483696,0.6253126634878795,1.8008406780446344,0.5156428470126436,4.152355583401362,9.324313621745166,34.987897421745394
EMB,EM Debt,bonds,1,50,,-0.21770587442029138,0.7853403141361256,2.423494220346323,0.1433127162212944,6.784093777366445,13.0926736212895,44.54654646328045
MBB,Mortgage,bonds,1,40,,-0.1990388049743397,0.31588440402997836,0.9239867274500208,0.250786950632832,4.444300767973968,8.077172973880112,20.426365358424608
TIP,TIPS,bonds,1,40,,-0.0896606072048629,0.36930613808929635,1.15286546917866,0.5595187801120456,2.529169563282626,6.68967153524078,15.058587472348792
IGLT.L,UK Gilts,bonds,1,40,,-0.15228774357179967,0.07631335092564388,0.22929975181628184,-1.329317264849549,1.3859934829402762,1.9980561239562693,3.979856064041802
SDEU.L,Euro Govt,bonds,1,40,,-0.06344052117888709,-0.1414187504074021,0.0,-1.2823547689547226,-1.728569526718863,0.9714085789311324,1.7862376352972442
1482.T,Japan Govt,bonds,1,35,,0.18820577164366373,1.33248730964467,0.8264569814790895,-0.2938379241682474,0.1469445845301861,1.126499490990493,-5.03865595967246
