,label,category,level,weight,parent,1D,1W,1M,3M,1Y,2Y,5Y
MTN.JO,MTN,stocks,3,55,STXIND.JO,0.0,0.5000490244141582,2.8554237470007444,5.0366557513673476,22.331800766998015,151.7395385594591,55.51629453980156
MNP.JO,Mondi,stocks,3,45,STXIND.JO,0.0,0.2464604090194022,-2.65797647538062,-8.342368397247398,-24.357952068066766,-30.365807198615556,-41.888469889644
APN.JO,Aspen,stocks,3,40,STXIND.JO,0.0,-1.887623944179214,2.6196512253207347,13.598095076111912,18.721432969384598,-19.50774152781794,-7.776079115772824
VOD.JO,Vodacom,stocks,3,40,STXIND.JO,0.0,-1.2297866557956245,-3.1318717931631905,-7.129623714303968,4.554578061930124,40.90384352532218,16.98289982562454
WHL.JO,Woolworths,stocks,3,35,STXIND.JO,0.0,-0.4897159647404506,-0.9939582927304619,-6.1649426329237675,-1.263718565762279,-19.497079596358773,-19.858750801790713
FSR.JO,FirstRand,stocks,3,80,STXFIN.JO,0.0,1.5160085982577214,1.9501717097780207,-5.934884208517624,17.441826950575795,13.713660097421448,41.269349031239656
SBK.JO,Standard Bank,stocks,3,75,STXFIN.JO,0.0,-0.5655877018566384,8.673977043026325,4.216463655716341,42.842230201755356,37.23353866555401,91.90664785272106
CPI.JO,Capitec,stocks,3,70,STXFIN.JO,0.0,-0.6226159544474543,1.2484951174923085,-7.680900780608052,24.808626584532824,32.050373639692886,126.98646674024157
ABG.JO,Absa,stocks,3,55,STXFIN.JO,0.0,-0.164256239733985,2.9879737157498862,-6.164099860677035,40.39737868495198,44.32940711217434,27.750305056839647
SLM.JO,Sanlam,stocks,3,50,STXFIN.JO,0.0,-0.1128668171557562,-1.9616221898374975,-13.527080611493616,3.4321476482950883,0.40280109456602414,70.2889043035323
NED.JO,Nedbank,stocks,3,45,STXFIN.JO,0.0,-2.0434274016669103,-2.21456604174321,-4.6627680035566454,15.549096514711891,-7.225729566156537,24.994889081218968
DSY.JO,Discovery,stocks,3,40,STXFIN.JO,0.0,-0.10650887573964496,-0.31831862446498094,5.781671656033598,18.903776573398005,31.701922446933484,109.02074484836844
OMU.JO,Old Mutual,stocks,3,35,STXFIN.JO,0.0,-2.0216606498194944,-2.475163790895086,-15.522973154019176,11.30509450207175,6.976651534836778,33.910387063511564
AGL.JO,Anglo American,stocks,3,80,STXRES.JO,0.0,2.685365536943254,13.750197787655175,-0.23066643299722653,55.91503803072927,46.52619315460159,47.506771667404784
BHP.JO,BHP,stocks,3,70,STXRES.JO,,,,,,,
SOL.JO,Sasol,stocks,3,55,STXRES.JO,0.0,1.933139534883721,-4.150341685649202,66.5663842926134,134.67930842163972,135.46726357022945,-25.53377756959004
